,Episode Length,Episode Length (seconds),Cumulative Pairwise Action Distance
0,157,3.9250000000000003,7.6879885955932625
1,104,2.6,6.056129050531587
2,134,3.35,6.134502565943074
3,116,2.9000000000000004,3.2155475363985073
4,126,3.1500000000000004,3.2070912614421037
5,107,2.6750000000000003,2.074362349658892
6,127,3.1750000000000003,8.988170860058862
7,147,3.6750000000000003,6.0675563379017605
8,70,1.75,1.5744595423535799
9,138,3.45,7.8365964038495335
10,160,4.0,5.090851340551049
11,84,2.1,3.1705717101191384
12,99,2.475,5.853458160775838
13,142,3.5500000000000003,8.111296393441068
14,145,3.625,7.691324222129254
15,128,3.2,6.523026868039824
16,83,2.075,2.798729658328739
17,94,2.35,3.229213392278936
18,182,4.55,11.108733259289334
19,169,4.2250000000000005,6.468186666134858
20,138,3.45,6.658133716176145
21,164,4.1000000000000005,8.218843270857521
22,148,3.7,4.824264023946688
23,173,4.325,10.65652420390245
24,158,3.95,10.213833046493264
25,121,3.0250000000000004,3.4735968827778265
26,113,2.825,2.7586972278193422
27,120,3.0,1.9045893022841172
28,43,1.075,0.8897955653747261
29,94,2.35,2.9442712334667305
30,167,4.175,6.7452240906478265
31,97,2.4250000000000003,4.526649762750436
32,138,3.45,7.705263407376208
33,111,2.7750000000000004,3.7312284608884445
34,167,4.175,11.072848403896137
35,76,1.9000000000000001,0.6130420815094794
36,157,3.9250000000000003,9.239855476358994
37,93,2.325,2.709154135671246
38,147,3.6750000000000003,6.323339265358764
39,44,1.1,0.433862589777299
40,165,4.125,5.843446293625672
41,113,2.825,3.5475062393531416
42,117,2.9250000000000003,4.6315512127821945
43,158,3.95,11.703141544893457
44,127,3.1750000000000003,7.9357626318793155
45,98,2.45,4.116495076880899
46,91,2.275,3.1186377072539297
47,85,2.125,1.7586977588801938
48,89,2.225,5.901795324926042
49,62,1.55,2.656414582151611
50,121,3.0250000000000004,4.803152989232381
51,160,4.0,11.207191441127732
52,127,3.1750000000000003,5.248222528778465
53,165,4.125,8.070930787313937
54,172,4.3,6.642500769216591
55,1200,30.0,10.818103787883445
56,181,4.525,12.564440282269596
57,162,4.05,11.252411018280897
58,179,4.4750000000000005,14.70562928910039
59,177,4.425,6.691813828909222
60,324,8.1,5.856648183156658
61,144,3.6,6.242035927746976
62,170,4.25,12.84392951938867
63,124,3.1,7.001132164183773
64,148,3.7,7.502698580988092
65,155,3.875,9.687692145598255
66,41,1.0250000000000001,0.5261789816486867
67,102,2.5500000000000003,4.959796548278857
68,169,4.2250000000000005,9.69377471052326
69,71,1.7750000000000001,2.513150752834611
70,98,2.45,4.607373622184207
71,154,3.85,5.438451189355224
72,160,4.0,5.067522017462139
73,127,3.1750000000000003,6.788920518587098
74,111,2.7750000000000004,0.9825709468565629
75,97,2.4250000000000003,4.743783889738993
76,129,3.225,6.897398837158924
77,138,3.45,8.458114666390827
78,59,1.475,1.6748289493246147
79,135,3.375,4.830903730575376
80,171,4.275,9.262150642851788
81,35,0.875,0.30626695202105886
82,202,5.050000000000001,8.553369924462295
83,96,2.4000000000000004,4.745649077057819
84,154,3.85,7.962373220607305
85,140,3.5,8.043490896349764
86,117,2.9250000000000003,5.182731199329322
87,197,4.925000000000001,8.544992728260661
88,65,1.625,1.291808055632374
89,138,3.45,9.105703504183174
90,114,2.85,5.91622926715431
91,138,3.45,3.3538867931961387
92,69,1.725,1.982315214000171
93,81,2.025,2.284651731630483
94,95,2.375,3.397446086765121
95,98,2.45,4.100579656381462
96,119,2.975,5.728745821660046
97,151,3.7750000000000004,8.02462610145109
98,57,1.425,2.5905482294157527
99,187,4.675,13.189387171400105
100,161,4.025,10.39280093127092
101,103,2.575,3.179340827913151
102,88,2.2,3.2652162025308473
103,154,3.85,10.093081989413625
104,125,3.125,4.834186735173565
105,127,3.1750000000000003,4.433677067699131
106,141,3.5250000000000004,7.7012959065804525
107,96,2.4000000000000004,1.9582867615002135
108,107,2.6750000000000003,2.1193674000766016
109,164,4.1000000000000005,5.811447226297676
110,139,3.475,8.005372314789016
111,165,4.125,10.423655949044637
112,83,2.075,1.9884673917223978
113,146,3.6500000000000004,9.84445379460486
114,132,3.3000000000000003,5.23358173684984
115,132,3.3000000000000003,6.1935192489774265
116,156,3.9000000000000004,7.988674991321384
117,114,2.85,4.001515022306103
118,91,2.275,4.476063513590691
119,164,4.1000000000000005,10.012527045349525
120,217,5.425000000000001,8.354365571687929
121,144,3.6,7.290164675265967
122,52,1.3,0.8677389749590314
123,137,3.4250000000000003,5.540443891986518
124,239,5.9750000000000005,5.720538663695907
125,123,3.075,6.16891729975253
126,127,3.1750000000000003,6.254600280960976
127,130,3.25,7.035356082537099
128,127,3.1750000000000003,7.3574330342506356
129,171,4.275,6.052721493145712
130,109,2.725,3.3535166895512396
131,144,3.6,8.827640639129784
132,118,2.95,6.313286716855101
133,124,3.1,8.001090718212986
134,78,1.9500000000000002,1.622292284133714
135,105,2.625,4.517367149927505
136,138,3.45,4.913742863317919
137,164,4.1000000000000005,9.796867637278806
138,102,2.5500000000000003,7.232913132220682
139,180,4.5,10.160658627898341
140,122,3.0500000000000003,5.921667579715975
141,61,1.5250000000000001,1.1659096439076835
142,175,4.375,13.198007494357233
143,91,2.275,5.851505678814471
144,154,3.85,9.36391849498589
145,194,4.8500000000000005,11.683499509306332
146,156,3.9000000000000004,9.29994298547372
147,76,1.9000000000000001,3.5808543038532563
148,119,2.975,8.636599218729788
149,82,2.0500000000000003,1.7846197688559198
150,124,3.1,5.64186369844369
151,140,3.5,7.509170188622568
152,124,3.1,4.487682072927211
153,112,2.8000000000000003,3.750926877223659
154,125,3.125,7.692703797903053
155,99,2.475,5.199398199280934
156,125,3.125,6.393038406580475
157,110,2.75,1.9782149476368749
158,81,2.025,2.890534795727175
159,189,4.7250000000000005,5.951226068233474
