,Episode Length,Episode Length (seconds),Cumulative Pairwise Action Distance
0,140,3.5,0.07521032903122377
1,114,2.85,0.06589192770199816
2,159,3.975,0.059472112827827224
3,77,1.925,0.04270276416218948
4,83,2.075,0.07113262476059821
5,74,1.85,0.026938273717021212
6,95,2.375,0.04654313260427996
7,141,3.5250000000000004,0.07451502264746429
8,144,3.6,0.0726415634088456
9,91,2.275,0.06133804075297315
10,126,3.1500000000000004,0.056562598092082965
11,125,3.125,0.04521938833182622
12,169,4.2250000000000005,0.07039869766242661
13,120,3.0,0.052454694856036245
14,125,3.125,0.05649598864636589
15,156,3.9000000000000004,0.057384694460898424
16,81,2.025,0.06047981757108537
17,93,2.325,0.059782671329434725
18,74,1.85,0.03286449514936785
19,74,1.85,0.04915596984407995
20,66,1.6500000000000001,0.04194747430786496
21,162,4.05,0.05680541225890066
22,81,2.025,0.055853648407197524
23,120,3.0,0.059393845738960796
24,169,4.2250000000000005,0.046640499108166644
25,142,3.5500000000000003,0.07315700795773078
26,127,3.1750000000000003,0.03495242883329121
27,109,2.725,0.08472709138111338
28,80,2.0,0.05543257213693128
29,71,1.7750000000000001,0.042649942815456914
30,97,2.4250000000000003,0.0572292185144531
31,63,1.5750000000000002,0.04587706318497496
32,89,2.225,0.047892709707737575
33,142,3.5500000000000003,0.049543497070920775
34,84,2.1,0.13114412546821477
35,92,2.3000000000000003,0.029529063606605045
36,134,3.35,0.04809375039476776
37,111,2.7750000000000004,0.06822963954563711
38,112,2.8000000000000003,0.07508568679151219
39,75,1.875,0.06691140044401506
40,159,3.975,0.043916634098006474
41,161,4.025,0.1253378525623648
42,169,4.2250000000000005,0.06770834450726772
43,145,3.625,0.05801771049974583
44,58,1.4500000000000002,0.03761607591705271
45,130,3.25,0.0687211122719132
46,91,2.275,0.047626203081867616
47,145,3.625,0.09194013369682796
48,158,3.95,0.0758113389045965
49,171,4.275,0.05593492323796023
50,87,2.1750000000000003,0.06579551413857541
51,65,1.625,0.0710489083219079
52,140,3.5,0.07948791727501456
53,149,3.725,0.060340226609110634
54,144,3.6,0.05909903976315883
55,121,3.0250000000000004,0.044043200857152756
56,107,2.6750000000000003,0.03663180112802233
57,113,2.825,0.033773901745436846
58,129,3.225,0.07567511202935207
59,109,2.725,0.08241081713298905
60,72,1.8,0.026451059746932945
61,156,3.9000000000000004,0.0786736347852321
62,126,3.1500000000000004,0.040935228986422566
63,133,3.325,0.06358859086635761
64,122,3.0500000000000003,0.04417322443200677
65,134,3.35,0.04515213057437873
66,128,3.2,0.0534808835788361
67,170,4.25,0.13719992408008516
68,113,2.825,0.09665182992599622
69,112,2.8000000000000003,0.1030967608447083
70,60,1.5,0.053685395383657956
71,103,2.575,0.02950523569268543
72,130,3.25,0.10232067268973256
73,131,3.2750000000000004,0.10552201976460257
74,111,2.7750000000000004,0.09281759342980687
75,137,3.4250000000000003,0.09105544334726905
76,118,2.95,0.05931537060141569
77,123,3.075,0.06945115834782135
78,178,4.45,0.11220158449033496
79,154,3.85,0.039014896430466135
80,78,1.9500000000000002,0.049770523678945695
81,155,3.875,0.10886224531258633
82,136,3.4000000000000004,0.04817688275912
83,121,3.0250000000000004,0.08133495902915593
84,161,4.025,0.0768207598371337
85,94,2.35,0.05664901015821379
86,163,4.075,0.03430262630592163
87,105,2.625,0.05874185732176509
88,106,2.6500000000000004,0.07418600936734074
89,136,3.4000000000000004,0.03352766586490229
90,110,2.75,0.08758071072811044
91,158,3.95,0.07305860209304255
92,86,2.15,0.05819038513119267
93,171,4.275,0.07816417048776002
94,113,2.825,0.09093598199639728
95,140,3.5,0.07341787197140648
96,111,2.7750000000000004,0.07393921907322219
97,109,2.725,0.10399210184715882
98,49,1.225,0.02526095388093939
99,158,3.95,0.10407688917360426
100,145,3.625,0.05876811885421149
101,95,2.375,0.0451745754703269
102,186,4.65,0.05214615085894247
103,60,1.5,0.04912042675773276
104,156,3.9000000000000004,0.06332532812887055
105,142,3.5500000000000003,0.08377197957870791
