,Episode Length,Episode Length (seconds),Cumulative Pairwise Action Distance,Hit Obstacle
0,115,2.875,0.842342464005411,0
1,138,3.45,1.3528351311581155,0
2,99,2.475,1.3893098132866533,0
3,177,4.425,1.1464156679609314,0
4,128,3.2,1.3863555232441984,0
5,133,3.325,1.6336099733158107,0
6,140,3.5,1.283328067012264,0
7,122,3.0500000000000003,1.2720726810433627,0
8,154,3.85,1.2290693398629349,0
9,124,3.1,1.3683336347690391,0
10,116,2.9000000000000004,1.147369529345424,0
11,126,3.1500000000000004,1.6330380445314767,0
12,157,3.9250000000000003,1.9076245392487574,0
13,126,3.1500000000000004,1.420356967930763,0
14,170,4.25,2.264308906316011,0
15,126,3.1500000000000004,1.1667437843429267,0
16,125,3.125,1.679663844436044,0
17,123,3.075,1.1836811170463126,0
18,173,4.325,1.6533148160728133,0
19,145,3.625,1.1472148484186278,0
20,100,2.5,0.8758220811928016,0
21,91,2.275,0.9017463851597811,0
22,147,3.6750000000000003,1.305862831957525,0
23,172,4.3,1.9655517644635447,0
24,140,3.5,1.5483735645900192,0
25,97,2.4250000000000003,1.0629115028466953,0
26,135,3.375,1.0676742751916135,0
27,135,3.375,1.0924879965322558,0
28,164,4.1000000000000005,1.7722749674395855,0
29,112,2.8000000000000003,1.0457475199568915,0
30,162,4.05,1.2960428097422172,0
31,175,4.375,1.8220311527833244,0
32,145,3.625,1.6770286883167471,0
33,124,3.1,0.984439807054514,0
34,113,2.825,1.057129575035219,0
35,113,2.825,1.1327007322559244,0
36,144,3.6,1.1737628048581388,0
37,138,3.45,1.422675487869279,0
38,126,3.1500000000000004,1.0491752946759523,0
39,212,5.300000000000001,1.6715821775422282,0
40,174,4.3500000000000005,1.5056714654760124,0
41,1057,26.425,1.9052932439204897,0
42,190,4.75,1.4456031063903276,0
43,273,6.825,3.8074591755825886,0
44,111,2.7750000000000004,1.3177073639395727,0
45,104,2.6,1.2349182575193294,0
46,127,3.1750000000000003,1.3751682753471965,0
47,174,4.3500000000000005,1.5028290170208463,0
48,119,2.975,1.219278673229191,0
49,129,3.225,1.3570169272059611,0
50,144,3.6,1.2299898952523374,0
51,125,3.125,1.2983981158092608,0
52,162,4.05,1.4907111944208364,0
53,134,3.35,1.266766551776502,0
54,124,3.1,1.1440976214130103,0
55,130,3.25,1.485093206959698,0
56,163,4.075,1.3595242916994543,0
57,107,2.6750000000000003,1.1732584719063777,0
58,114,2.85,1.751455672749256,0
59,159,3.975,1.515162428949224,0
60,85,2.125,1.1958115203373054,0
61,135,3.375,0.8749845451989308,0
62,144,3.6,1.8960074010523986,0
63,162,4.05,1.722758662977049,0
64,84,2.1,0.7592303728138051,0
65,259,6.4750000000000005,0.0,1
66,130,3.25,1.3603084889566213,0
67,122,3.0500000000000003,1.4142127167467136,0
68,112,2.8000000000000003,1.1261687346571678,0
69,158,3.95,1.3734757646450488,0
70,525,13.125,1.8499267540383941,0
71,162,4.05,1.6587524917464755,0
72,109,2.725,0.6803661045358769,0
73,145,3.625,1.6169768184452902,0
74,168,4.2,1.725438582304966,0
75,160,4.0,1.5940277720637883,0
76,140,3.5,1.9246254666691909,0
77,129,3.225,1.5578427198931093,0
78,129,3.225,0.8635730626990776,0
79,136,3.4000000000000004,1.0146590394699813,0
80,170,4.25,1.2391661480645646,0
81,119,2.975,1.198699310909617,0
82,145,3.625,1.8562491159249224,0
83,116,2.9000000000000004,1.0316884753183013,0
84,207,5.175000000000001,1.1634422316490105,0
85,146,3.6500000000000004,1.3774232930410817,0
86,150,3.75,1.3317842113722391,0
87,96,2.4000000000000004,1.053497526268449,0
88,170,4.25,0.9400653262303575,0
89,209,5.2250000000000005,2.3502714498491866,0
90,125,3.125,1.298776050736777,0
91,142,3.5500000000000003,1.3484637545423885,0
92,94,2.35,0.9687202569984988,0
93,119,2.975,1.0007179316067565,0
94,105,2.625,1.1171834973266686,0
95,194,4.8500000000000005,1.0852956187886147,0
96,909,22.725,2.065342019380646,0
97,145,3.625,1.6470509342516513,0
98,238,5.95,1.175409179792058,0
99,110,2.75,0.8655100256449058,0
100,116,2.9000000000000004,1.3133673204093488,0
101,114,2.85,1.3104227578315346,0
102,129,3.225,1.0801225526925793,0
103,112,2.8000000000000003,1.1863689948135197,0
104,145,3.625,1.2233208574621899,0
105,152,3.8000000000000003,0.9385394237930995,0
106,190,4.75,1.0269394898257287,0
107,136,3.4000000000000004,1.0955056865988393,0
108,116,2.9000000000000004,1.0414596658931667,0
109,127,3.1750000000000003,2.190098534752644,0
110,145,3.625,1.1674887358746473,0
111,174,4.3500000000000005,1.491480777488217,0
112,117,2.9250000000000003,1.0867886345475641,0
113,158,3.95,1.328993054374805,0
114,98,2.45,1.0476465498556744,0
115,106,2.6500000000000004,1.5991891021584124,0
116,145,3.625,1.8402681026044008,0
